topic,term,beta
5,10_discount_store,9.81496514928352e-253
6,10_discount_store,9.800952294644435e-174
7,10_discount_store,8.678850134115124e-216
8,10_discount_store,4.012587323894325e-158
9,10_discount_store,3.3494449954705764e-216
10,10_discount_store,8.634030676647234e-260
11,10_discount_store,3.560005104351481e-177
12,10_discount_store,2.5329100798018966e-204
13,10_discount_store,1.514600783086306e-220
14,10_discount_store,1.2313292293628284e-232
15,10_discount_store,1.1097508080919745e-266
16,10_discount_store,7.924354092336245e-255
1,10_employe_discount,1.045654627904312e-190
2,10_employe_discount,3.76572926084287e-254
3,10_employe_discount,3.348335724478464e-223
4,10_employe_discount,2.3334179676323444e-210
5,10_employe_discount,4.051269257607455e-251
6,10_employe_discount,1.9151242219542e-310
7,10_employe_discount,2.4929105804790435e-235
8,10_employe_discount,2.5284062134492788e-197
9,10_employe_discount,5.795459561806742e-129
10,10_employe_discount,2.0544781373677425e-249
11,10_employe_discount,0.002004195231139345
12,10_employe_discount,4.043408769351516e-264
13,10_employe_discount,7.323050622010731e-263
14,10_employe_discount,3.8126968672255775e-183
15,10_employe_discount,2.498355041356918e-244
16,10_employe_discount,2.4494458927695706e-260
1,10_hour_day,1.6062562281212946e-148
2,10_hour_day,2.0152446428561263e-173
3,10_hour_day,7.749588746331579e-73
4,10_hour_day,7.258616091623185e-109
5,10_hour_day,8.958365183079239e-181
6,10_hour_day,4.941466980797129e-18
7,10_hour_day,8.874293292804083e-135
8,10_hour_day,6.347596952635189e-136
9,10_hour_day,3.2559453249004054e-155
10,10_hour_day,1.2749965108393284e-24
11,10_hour_day,8.556352483958374e-107
12,10_hour_day,1.7250528854202729e-168
13,10_hour_day,4.133876178144216e-30
14,10_hour_day,3.699945453757672e-4
15,10_hour_day,4.772209986418061e-141
16,10_hour_day,1.4872150708666723e-84
1,10_kroger_brand,2.0769115967289927e-240
2,10_kroger_brand,4.546206752884631e-273
3,10_kroger_brand,1.8882468546598092e-252
4,10_kroger_brand,3.8488705698573975e-225
5,10_kroger_brand,0
6,10_kroger_brand,0
7,10_kroger_brand,1.2261868282207745e-221
8,10_kroger_brand,5.216627049449728e-257
9,10_kroger_brand,8.791089175908678e-4
10,10_kroger_brand,0
11,10_kroger_brand,4.270685754509446e-223
12,10_kroger_brand,1.922600525568578e-229
13,10_kroger_brand,1.779452080070879e-273
14,10_kroger_brand,1.3936407219309262e-214
15,10_kroger_brand,1.9181259456494822e-249
