"","Topic_Num","Pro_Con","Pro_Con_p","Job_Status","Job_Status_p"
"1",1,-0.0583586864715942,0,0.00708004025575025,3.176584539055e-16
"2",2,-0.0258065134499532,7.26654155305509e-309,-0.000132553400849859,0.823432556435541
"3",3,-0.0800533449160205,0,0.000641525652474752,0.702155976181153
"4",4,-0.0205769280027928,5.47587785525452e-233,-0.0082359509334063,8.37739404813729e-39
"5",5,-0.0069356511737178,5.67057973767164e-25,-0.00132198653156917,0.0381617599515144
"6",6,-0.00649278456233661,1.0825807356398e-12,-0.00286073559452258,0.00120674620518249
"7",7,-0.00601624425627604,1.02914956542417e-08,0.00507405738167193,2.1598738509792e-07
"8",8,0.0395184983816671,5.08237829694728e-279,0.0174898609470568,1.88765019173717e-60
"9",9,0.103262004014185,0,0.00366262404996631,1.33096947187678e-05
"10",10,-0.0880532854114022,0,0.00070478513405763,0.376082356094325
"11",11,0.032351788386665,0,-0.00514955609425294,9.2846880289083e-13
"12",12,0.0261380962395355,0,-0.00578511837647363,1.08348186545666e-14
"13",13,-0.0994280912805596,0,-0.00299995420117371,0.00108518994905546
"14",14,0.149867410551706,0,-0.0106210338725618,2.05313870941868e-11
"15",15,0.0030156152884387,0.000384724577343209,-5.2425244760465e-05,0.954172548625033
"16",16,0.0375477829725092,0,0.00247339849446192,6.50640048771704e-06
