"","Topic_Num","Pro_Con","Pro_Con_p","Job_Status","Job_Status_p"
"1",1,-0.0583530409402496,0,0.00707259262085515,1.77698520306893e-16
"2",2,-0.0258018917531554,3.75940862108114e-309,-0.000132402071951874,0.823962494200326
"3",3,-0.0800109539682398,0,0.000663274442071128,0.690486193352742
"4",4,-0.0205669568616068,2.49290319666248e-234,-0.00823426453129777,1.9863988151409e-38
"5",5,-0.00693545336674799,2.57174647660937e-25,-0.00134065707688284,0.0363404163885061
"6",6,-0.00650441292662595,8.38319558427636e-13,-0.00285800189634841,0.00099061914979211
"7",7,-0.00600368600805338,1.1671381241751e-08,0.00509439689909316,2.11570674605611e-07
"8",8,0.0395001094549312,7.88852384321735e-281,0.0174838741308024,1.58444027815753e-60
"9",9,0.103256611227108,0,0.00366261837699423,1.33180410511012e-05
"10",10,-0.0880466599859348,0,0.000710309390886223,0.372841224927467
"11",11,0.0323525533783535,0,-0.00514729881172458,1.17946824661988e-12
"12",12,0.026148232700234,0,-0.00578144511844554,5.12638093567336e-15
"13",13,-0.0994269389653898,0,-0.00302070513106423,0.00105883686830194
"14",14,0.149842558592055,0,-0.0106103419894815,3.65164773383265e-11
"15",15,0.00302259456928991,0.000321029749477714,-3.38057939010694e-05,0.97040737551327
"16",16,0.0375404389771883,0,0.00248162272150273,5.13231805474181e-06
